date,countryCode,country,provinceCode,province,cityCode,city,confirmed,suspected,cured,dead
2020-04-30,CN,中国,130000,河北省,130600,保定市,32,0,32,0
2020-04-30,CN,中国,130000,河北省,130700,张家口市,41,0,41,0
2020-04-30,CN,中国,130000,河北省,130800,承德市,7,0,7,0
2020-04-30,CN,中国,130000,河北省,130900,沧州市,48,0,45,3
2020-04-30,CN,中国,130000,河北省,131000,廊坊市,30,0,30,0
2020-04-30,CN,中国,130000,河北省,131100,衡水市,8,0,8,0
2020-04-30,CN,中国,140000,山西省,,,197,0,164,0
2020-04-30,CN,中国,140000,山西省,1400y0,境外输入,64,0,31,0
2020-04-30,CN,中国,140000,山西省,140100,太原市,20,0,20,0
2020-04-30,CN,中国,140000,山西省,140200,大同市,12,0,12,0
2020-04-30,CN,中国,140000,山西省,140300,阳泉市,4,0,4,0
2020-04-30,CN,中国,140000,山西省,140400,长治市,8,0,8,0
2020-04-30,CN,中国,140000,山西省,140500,晋城市,10,0,10,0
2020-04-30,CN,中国,140000,山西省,140600,朔州市,8,0,8,0
2020-04-30,CN,中国,140000,山西省,140700,晋中市,37,0,37,0
2020-04-30,CN,中国,140000,山西省,140800,运城市,19,0,19,0
2020-04-30,CN,中国,140000,山西省,140900,忻州市,7,0,7,0
2020-04-30,CN,中国,140000,山西省,141000,临汾市,2,0,2,0
2020-04-30,CN,中国,140000,山西省,141100,吕梁市,6,0,6,0
2020-04-30,CN,中国,150000,内蒙古自治区,,,200,0,150,1
2020-04-30,CN,中国,150000,内蒙古自治区,1500y0,境外输入,124,0,76,0
2020-04-30,CN,中国,150000,内蒙古自治区,150100,呼和浩特市,7,0,7,0
2020-04-30,CN,中国,150000,内蒙古自治区,150200,包头市,11,0,11,0
2020-04-30,CN,中国,150000,内蒙古自治区,150300,乌海市,2,0,2,0
2020-04-30,CN,中国,150000,内蒙古自治区,150400,赤峰市,9,0,9,0
2020-04-30,CN,中国,150000,内蒙古自治区,150500,通辽市,7,0,7,0
2020-04-30,CN,中国,150000,内蒙古自治区,150600,鄂尔多斯市,11,0,11,0
2020-04-30,CN,中国,150000,内蒙古自治区,150700,呼伦贝尔市,8,0,7,0
2020-04-30,CN,中国,150000,内蒙古自治区,150800,巴彦淖尔市,8,0,7,1
2020-04-30,CN,中国,150000,内蒙古自治区,150900,乌兰察布市,3,0,3,0
2020-04-30,CN,中国,150000,内蒙古自治区,152200,兴安盟,1,0,1,0
