date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2020-09-26,钻石公主号邮轮,,,,,,712,0,653,13
2020-09-26,圣马丁,,,,,,618,0,517,22
2020-09-26,荷属安的列斯,,,,,,329,0,124,1
2020-09-26,安道尔,AD,,,,,1836,0,1263,53
2020-09-26,阿联酋,AE,,,,,89540,0,78819,409
2020-09-26,阿富汗,AF,,,,,39186,0,32619,1451
2020-09-26,安提瓜和巴布达,AG,,,,,98,0,92,3
2020-09-26,安圭拉,AI,,,,,3,0,3,0
2020-09-26,阿尔巴尼亚,AL,,,,,13045,0,7309,373
2020-09-26,亚美尼亚,AM,,,,,48643,0,43401,947
2020-09-26,安哥拉,AO,,,,,4475,0,1503,162
2020-09-26,阿根廷,AR,,,,,678266,0,536589,14766
2020-09-26,奥地利,AT,,,,,41500,0,32301,786
2020-09-26,澳大利亚,AU,,,,,27000,0,24523,869
2020-09-26,阿鲁巴,AW,,,,,3799,0,2753,25
2020-09-26,阿塞拜疆,AZ,,,,,39787,0,37392,583
2020-09-26,波黑,BA,,,,,26564,0,19507,808
2020-09-26,巴巴多斯,BB,,,,,190,0,175,7
2020-09-26,孟加拉国,BD,,,,,356767,0,267024,5093
2020-09-26,比利时,BE,,,,,108768,0,19123,9965
2020-09-26,布基纳法索,BF,,,,,1950,0,1260,56
2020-09-26,保加利亚,BG,,,,,19828,0,14132,789
2020-09-26,巴林,BH,,,,,68190,0,61475,236
2020-09-26,布隆迪,BI,,,,,483,0,462,1
2020-09-26,贝宁,BJ,,,,,2325,0,1954,40
2020-09-26,圣巴泰勒米,BL,,,,,45,0,25,0
2020-09-26,百慕大,BM,,,,,181,0,167,9
2020-09-26,文莱,BN,,,,,146,0,142,3
2020-09-26,玻利维亚,BO,,,,,132618,0,92101,7765
2020-09-26,巴西,BR,,,,,4689613,0,4040949,140537
2020-09-26,巴哈马,BS,,,,,3699,0,1962,86
2020-09-26,不丹,BT,,,,,263,0,198,0
2020-09-26,博茨瓦纳,BW,,,,,2921,0,701,16
2020-09-26,白俄罗斯,BY,,,,,76957,0,73925,807
2020-09-26,伯利兹,BZ,,,,,1758,0,1072,22
2020-09-26,加拿大,CA,,,,,150358,0,129454,9255
2020-09-26,刚果（金）,CD,,,,,10578,0,10070,271
2020-09-26,中非,CF,,,,,4806,0,1840,62
2020-09-26,刚果（布）,CG,,,,,5005,0,3887,89
2020-09-26,瑞士,CH,,,,,51864,0,42600,2064
2020-09-26,科特迪瓦,CI,,,,,19556,0,19065,120
2020-09-26,智利,CL,,,,,453868,0,428580,12527
2020-09-26,喀麦隆,CM,,,,,20712,0,19440,418
2020-09-26,中国,CN,,,,,90951,1,85827,4746
2020-09-26,中国,CN,北京市,110000,,,936,0,926,9
2020-09-26,中国,CN,北京市,110000,未公布来源,1100xx,5,0,725,9
2020-09-26,中国,CN,北京市,110000,外地来京,1100xy,26,0,2,0
2020-09-26,中国,CN,北京市,110000,境外输入,1100y0,177,0,175,0
2020-09-26,中国,CN,北京市,110000,东城区,110101,19,0,0,0
2020-09-26,中国,CN,北京市,110000,西城区,110102,59,0,2,0
2020-09-26,中国,CN,北京市,110000,朝阳区,110105,77,0,1,0
2020-09-26,中国,CN,北京市,110000,丰台区,110106,273,0,3,0
2020-09-26,中国,CN,北京市,110000,石景山区,110107,15,0,1,0
2020-09-26,中国,CN,北京市,110000,海淀区,110108,82,0,0,0
2020-09-26,中国,CN,北京市,110000,门头沟区,110109,5,0,0,0
2020-09-26,中国,CN,北京市,110000,房山区,110111,19,0,0,0
2020-09-26,中国,CN,北京市,110000,通州区,110112,20,0,0,0
2020-09-26,中国,CN,北京市,110000,顺义区,110113,10,0,0,0
2020-09-26,中国,CN,北京市,110000,昌平区,110114,30,0,1,0
2020-09-26,中国,CN,北京市,110000,大兴区,110115,104,0,16,0
2020-09-26,中国,CN,北京市,110000,怀柔区,110116,7,0,0,0
2020-09-26,中国,CN,北京市,110000,平谷区,110117,0,0,0,0
2020-09-26,中国,CN,北京市,110000,密云区,110118,7,0,0,0
2020-09-26,中国,CN,北京市,110000,延庆区,110119,1,0,0,0
2020-09-26,中国,CN,天津市,120000,,,240,0,230,3
