date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2020-09-15,钻石公主号邮轮,,,,,,712,0,653,13
2020-09-15,圣马丁,,,,,,549,0,430,19
2020-09-15,荷属安的列斯,,,,,,161,0,58,1
2020-09-15,安道尔,AD,,,,,1438,0,945,53
2020-09-15,阿联酋,AE,,,,,80266,0,69981,399
2020-09-15,阿富汗,AF,,,,,38815,0,32098,1426
2020-09-15,安提瓜和巴布达,AG,,,,,95,0,91,3
2020-09-15,安圭拉,AI,,,,,3,0,3,0
2020-09-15,阿尔巴尼亚,AL,,,,,11520,0,6615,338
2020-09-15,亚美尼亚,AM,,,,,46119,0,41941,920
2020-09-15,安哥拉,AO,,,,,3439,0,1324,136
2020-09-15,阿根廷,AR,,,,,565446,0,428953,11667
2020-09-15,奥地利,AT,,,,,34305,0,27354,757
2020-09-15,澳大利亚,AU,,,,,26739,0,23652,816
2020-09-15,阿鲁巴,AW,,,,,3060,0,1566,20
2020-09-15,阿塞拜疆,AZ,,,,,38517,0,35998,566
2020-09-15,波黑,BA,,,,,23929,0,16701,725
2020-09-15,巴巴多斯,BB,,,,,183,0,165,7
2020-09-15,孟加拉国,BD,,,,,341056,0,245594,4802
2020-09-15,比利时,BE,,,,,94306,0,18737,9927
2020-09-15,布基纳法索,BF,,,,,1717,0,1137,56
2020-09-15,保加利亚,BG,,,,,18061,0,12930,729
2020-09-15,巴林,BH,,,,,60965,0,54204,213
2020-09-15,布隆迪,BI,,,,,472,0,374,1
2020-09-15,贝宁,BJ,,,,,2267,0,1942,40
2020-09-15,圣巴泰勒米,BL,,,,,23,0,16,0
2020-09-15,百慕大,BM,,,,,177,0,161,9
2020-09-15,文莱,BN,,,,,145,0,139,3
2020-09-15,玻利维亚,BO,,,,,127619,0,85198,7394
2020-09-15,巴西,BR,,,,,4349544,0,3613184,132117
2020-09-15,巴哈马,BS,,,,,3008,0,1391,68
2020-09-15,不丹,BT,,,,,246,0,173,0
2020-09-15,博茨瓦纳,BW,,,,,2463,0,575,11
2020-09-15,白俄罗斯,BY,,,,,74360,0,72609,756
2020-09-15,伯利兹,BZ,,,,,1501,0,540,19
