date,countryCode,country,provinceCode,province,cityCode,city,confirmed,suspected,cured,dead
2020-04-29,,波黑,,,,,1677,0,710,65
2020-04-29,,钻石公主号邮轮,,,,,712,0,645,13
2020-04-29,,英国属地曼岛,,,,,309,0,252,21
2020-04-29,,泽西岛,,,,,280,0,0,19
2020-04-29,,格恩西岛,,,,,209,0,0,6
2020-04-29,,圣马丁,,,,,75,0,33,13
2020-04-29,,蒙古,,,,,38,0,10,0
2020-04-29,,荷属安的列斯,,,,,16,0,11,1
2020-04-29,,北马里亚纳,,,,,14,0,0,2
2020-04-29,,福克兰群岛（马尔维纳斯）,,,,,13,0,11,0
2020-04-29,,毛利塔尼亚,,,,,8,0,6,1
2020-04-29,AD,安道尔,,,,,743,0,398,41
2020-04-29,AE,阿联酋,,,,,11380,0,2181,89
2020-04-29,AF,阿富汗,,,,,1939,0,252,60
2020-04-29,AG,安提瓜和巴布达,,,,,24,0,11,3
2020-04-29,AI,安圭拉,,,,,3,0,3,0
2020-04-29,AL,阿尔巴尼亚,,,,,766,0,431,30
2020-04-29,AM,亚美尼亚,,,,,1932,0,900,30
2020-04-29,AO,安哥拉,,,,,27,0,6,2
2020-04-29,AR,阿根廷,,,,,4127,0,1162,207
2020-04-29,AT,奥地利,,,,,15402,0,12779,580
2020-04-29,AU,澳大利亚,,,,,6746,0,5667,89
2020-04-29,AW,阿鲁巴,,,,,100,0,73,2
2020-04-29,AZ,阿塞拜疆,,,,,1717,0,1221,22
2020-04-29,BB,巴巴多斯,,,,,80,0,39,6
2020-04-29,BD,孟加拉国,,,,,7103,0,150,163
2020-04-29,BE,比利时,,,,,47859,0,11283,7501
2020-04-29,BF,布基纳法索,,,,,638,0,476,42
2020-04-29,BG,保加利亚,,,,,1437,0,243,61
2020-04-29,BH,巴林,,,,,2896,0,1370,8
2020-04-29,BI,布隆迪,,,,,12,0,4,1
2020-04-29,BJ,贝宁,,,,,64,0,33,1
2020-04-29,BL,圣巴泰勒米,,,,,6,0,6,0
2020-04-29,BM,百慕大,,,,,110,0,44,6
2020-04-29,BN,文莱,,,,,138,0,119,1
2020-04-29,BO,玻利维亚,,,,,1053,0,110,55
2020-04-29,BR,巴西,,,,,73235,0,32544,5083
2020-04-29,BS,巴哈马,,,,,80,0,23,11
2020-04-29,BT,不丹,,,,,7,0,5,0
2020-04-29,BW,博茨瓦纳,,,,,23,0,0,1
2020-04-29,BY,白俄罗斯,,,,,13181,0,2072,84
2020-04-29,BZ,伯利兹,,,,,18,0,6,2
2020-04-29,CA,加拿大,,,,,50026,0,19190,2859
2020-04-29,CD,刚果（金）,,,,,491,0,59,30
2020-04-29,CF,中非,,,,,19,0,10,0
2020-04-29,CG,刚果（布）,,,,,207,0,19,8
2020-04-29,CH,瑞士,,,,,29407,0,22600,1699
2020-04-29,CI,科特迪瓦,,,,,1183,0,525,14
2020-04-29,CL,智利,,,,,14365,0,7710,207
2020-04-29,CM,喀麦隆,,,,,1806,0,915,59
