date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2020-08-12,钻石公主号邮轮,,,,,,712,0,653,13
2020-08-12,圣马丁,,,,,,205,0,93,17
2020-08-12,荷属安的列斯,,,,,,32,0,30,1
2020-08-12,安道尔,AD,,,,,963,0,839,52
2020-08-12,阿联酋,AE,,,,,63212,0,57193,358
2020-08-12,阿富汗,AF,,,,,37345,0,26694,1354
2020-08-12,安提瓜和巴布达,AG,,,,,92,0,76,3
2020-08-12,安圭拉,AI,,,,,3,0,3,0
2020-08-12,阿尔巴尼亚,AL,,,,,6676,0,3480,205
2020-08-12,亚美尼亚,AM,,,,,40794,0,33492,806
2020-08-12,安哥拉,AO,,,,,1735,0,575,80
2020-08-12,阿根廷,AR,,,,,260911,0,181389,5004
2020-08-12,奥地利,AT,,,,,22439,0,20268,724
2020-08-12,澳大利亚,AU,,,,,22127,0,12393,352
2020-08-12,阿鲁巴,AW,,,,,717,0,114,3
2020-08-12,阿塞拜疆,AZ,,,,,33824,0,31058,497
2020-08-12,波黑,BA,,,,,14961,0,8827,453
2020-08-12,巴巴多斯,BB,,,,,143,0,112,7
2020-08-12,孟加拉国,BD,,,,,266498,0,153089,3513
2020-08-12,比利时,BE,,,,,75008,0,17841,9885
2020-08-12,布基纳法索,BF,,,,,1213,0,995,54
2020-08-12,保加利亚,BG,,,,,13722,0,8154,471
2020-08-12,巴林,BH,,,,,44804,0,41504,165
2020-08-12,布隆迪,BI,,,,,408,0,315,1
2020-08-12,贝宁,BJ,,,,,2001,0,1681,38
2020-08-12,圣巴泰勒米,BL,,,,,13,0,6,0
2020-08-12,百慕大,BM,,,,,159,0,145,9
2020-08-12,文莱,BN,,,,,142,0,138,3
2020-08-12,玻利维亚,BO,,,,,93328,0,31753,3761
2020-08-12,巴西,BR,,,,,3112393,0,2243124,103099
2020-08-12,巴哈马,BS,,,,,989,0,116,15
2020-08-12,不丹,BT,,,,,113,0,97,0
2020-08-12,博茨瓦纳,BW,,,,,1066,0,80,2
2020-08-12,白俄罗斯,BY,,,,,69102,0,65893,595
2020-08-12,伯利兹,BZ,,,,,210,0,32,2
2020-08-12,加拿大,CA,,,,,120421,0,106746,8991
2020-08-12,刚果（金）,CD,,,,,9538,0,8421,225
2020-08-12,中非,CF,,,,,4645,0,1723,61
2020-08-12,刚果（布）,CG,,,,,3745,0,1625,60
2020-08-12,瑞士,CH,,,,,37169,0,32700,1991
2020-08-12,科特迪瓦,CI,,,,,16847,0,13321,105
2020-08-12,智利,CL,,,,,376616,0,349541,10178
2020-08-12,喀麦隆,CM,,,,,18213,0,15320,398
2020-08-12,中国,CN,,,,,89507,3,82932,4704
2020-08-12,中国,CN,北京市,110000,,,935,0,920,9
2020-08-12,中国,CN,北京市,110000,未公布来源,1100xx,5,0,720,9
2020-08-12,中国,CN,北京市,110000,外地来京,1100xy,26,0,2,0
2020-08-12,中国,CN,北京市,110000,境外输入,1100y0,176,0,174,0
2020-08-12,中国,CN,北京市,110000,东城区,110101,19,0,0,0
2020-08-12,中国,CN,北京市,110000,西城区,110102,59,0,2,0
2020-08-12,中国,CN,北京市,110000,朝阳区,110105,77,0,1,0
2020-08-12,中国,CN,北京市,110000,丰台区,110106,273,0,3,0
2020-08-12,中国,CN,北京市,110000,石景山区,110107,15,0,1,0
2020-08-12,中国,CN,北京市,110000,海淀区,110108,82,0,0,0
2020-08-12,中国,CN,北京市,110000,门头沟区,110109,5,0,0,0
2020-08-12,中国,CN,北京市,110000,房山区,110111,19,0,0,0
2020-08-12,中国,CN,北京市,110000,通州区,110112,20,0,0,0
2020-08-12,中国,CN,北京市,110000,顺义区,110113,10,0,0,0
2020-08-12,中国,CN,北京市,110000,昌平区,110114,30,0,1,0
2020-08-12,中国,CN,北京市,110000,大兴区,110115,104,0,16,0
2020-08-12,中国,CN,北京市,110000,怀柔区,110116,7,0,0,0
2020-08-12,中国,CN,北京市,110000,平谷区,110117,0,0,0,0
2020-08-12,中国,CN,北京市,110000,密云区,110118,7,0,0,0
2020-08-12,中国,CN,北京市,110000,延庆区,110119,1,0,0,0
2020-08-12,中国,CN,天津市,120000,,,205,0,202,3
2020-08-12,中国,CN,天津市,120000,外地来津,1200xy,6,0,6,0
2020-08-12,中国,CN,天津市,120000,境外输入,1200y0,68,0,68,0
2020-08-12,中国,CN,天津市,120000,和平区,120101,6,0,6,0
