date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2020-02-02,中国,CN,西藏自治区,540000,,,1,,,
2020-02-02,中国,CN,西藏自治区,540000,拉萨市,540100,1,,,
