date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2020-02-02,中国,CN,河北省,130000,,,113,108,3,1
2020-02-02,中国,CN,河北省,130000,石家庄市,130100,16,15,,
2020-02-02,中国,CN,河北省,130000,唐山市,130200,11,4,,
2020-02-02,中国,CN,河北省,130000,秦皇岛市,130300,2,9,,
2020-02-02,中国,CN,河北省,130000,邯郸市,130400,11,3,,
2020-02-02,中国,CN,河北省,130000,邢台市,130500,14,8,,
2020-02-02,中国,CN,河北省,130000,保定市,130600,13,,2,
2020-02-02,中国,CN,河北省,130000,张家口市,130700,9,4,,
2020-02-02,中国,CN,河北省,130000,承德市,130800,2,3,,
2020-02-02,中国,CN,河北省,130000,沧州市,130900,19,3,,1
2020-02-02,中国,CN,河北省,130000,廊坊市,131000,12,,1,
2020-02-02,中国,CN,河北省,130000,衡水市,131100,4,1,,
